Datetime,AAPL_forecast_har_5m,AMD_forecast_har_5m,AMZN_forecast_har_5m,GOOGL_forecast_har_5m,IBM_forecast_har_5m,META_forecast_har_5m,MSFT_forecast_har_5m,NVDA_forecast_har_5m,SPY_forecast_har_5m,TSLA_forecast_har_5m,AAPL_forecast_rfsv_5m,AMD_forecast_rfsv_5m,AMZN_forecast_rfsv_5m,GOOGL_forecast_rfsv_5m,IBM_forecast_rfsv_5m,META_forecast_rfsv_5m,MSFT_forecast_rfsv_5m,NVDA_forecast_rfsv_5m,SPY_forecast_rfsv_5m,TSLA_forecast_rfsv_5m,AAPL_actuals_5m,AMD_actuals_5m,AMZN_actuals_5m,GOOGL_actuals_5m,IBM_actuals_5m,META_actuals_5m,MSFT_actuals_5m,NVDA_actuals_5m,SPY_actuals_5m,TSLA_actuals_5m
2025-07-25 17:55:00,-13.351224751457458,-14.38403698312221,-20.047367725239347,-13.846148920614256,-13.928102638361983,-18.764880673024905,-15.979715678071308,-12.822680131998183,-17.515771723879475,-11.843726571711663,-13.830201760315214,-16.12486710885663,-17.157876475742107,-13.75987605685351,-13.594739228771065,-17.896826797728277,-16.217195698275056,-13.442114698305556,-18.290590150531536,-12.307322653166676,-16.71748662975501,-17.228820659961603,-15.711339296871154,-17.894639863945823,-21.918064737606013,-13.72842037427799,-14.352403561864108,-15.126688209396681,-20.77658283385565,-16.738212101714247
2025-07-25 18:00:00,-12.103992551102266,-12.675078782427406,-19.57264312022108,-9.70755966140243,-13.702270600961649,-20.0635281911251,-14.849850529816578,-12.042103803104968,-17.534947617759343,-10.470528711871305,-14.735866848333018,-15.932697323504305,-17.08659035910101,-13.565507108754861,-13.79530262700122,-18.434596735357715,-15.771785955653124,-13.756284511866756,-18.07566455791342,-11.818392217437763,-15.909167926732273,-11.962896189820766,-14.16249668534247,-23.025850929940457,-14.2973729240426,-15.561228465000955,-15.040750713388663,-13.082704087189404,-21.58044206803823,-11.390214912461264
2025-07-25 18:05:00,-14.886256793072288,-13.402974049191062,-20.396054645700275,-7.679523897559029,-14.833163198981033,-20.263233690235076,-13.398978682699408,-12.45994892884254,-18.753185957251468,-10.975851421134234,-14.527776257064584,-15.331168870927183,-16.731685285041358,-14.1190236203925,-14.384920651978508,-18.151894652592652,-15.78420636537995,-14.155911046464416,-18.445881721509494,-11.407496771351216,-21.227199414787098,-14.643639572284972,-17.591279170156547,-15.841325810386264,-12.424340640871396,-14.576958314175549,-13.694141023812113,-18.12498709015586,-19.881094018386587,-16.278607917670783
2025-07-25 18:10:00,-13.445751377233687,-13.42265882488133,-18.58633876301731,-11.292067003247718,-14.849227816059091,-18.29487160026526,-13.35899793208987,-15.88558661883117,-22.093569484027796,-13.915632761985226,-14.832466735257503,-15.383665593917494,-17.37431023662264,-14.264898154119432,-14.392883493832324,-17.28073603954602,-16.63776936278257,-13.821406770620476,-18.275569389315727,-10.910063062160598,-17.16688546125385,-22.97055803396876,-15.49410383558897,-13.33588998469265,-13.029160195480534,-16.821358300642363,-13.657385870110039,-13.004596996266171,-15.897088081802208,-10.635029499502144
2025-07-25 18:15:00,-10.714110527091634,-17.6400423560843,-18.76616279050635,-8.319688210524644,-15.558755084747352,-18.329415521382145,-14.809545117353583,-11.74248621714749,-19.62173514730668,-13.615419921844172,-15.162932439739484,-15.329166432876821,-16.61046109958375,-14.390278726548724,-15.700314834292552,-17.10069317753367,-16.156506702923743,-13.96092713850619,-18.96306367267873,-11.17685425475193,-16.757784363503177,-16.685173096272067,-13.918243242546644,-14.947031297770835,-15.446772044928366,-16.814812395582834,-15.115420216773563,-13.085932515723885,-21.782732575113844,-14.788725127719065
2025-07-25 18:20:00,-10.370243086379043,-12.412759395944237,-19.15225929938967,-8.80358687854207,-16.592366804521234,-19.74084096027112,-13.3329370681818,-11.553088099689468,-17.894341071207144,-10.958518414226639,-14.969164380148527,-14.985660918541992,-17.433700224482163,-13.836376624841057,-15.179934499758044,-18.040114685255542,-16.040142352666038,-14.182955098986614,-18.796540811593538,-11.89305742331376,-15.640087411415161,-12.090223576477797,-15.244740382815737,-17.64631174095701,-17.42201922650717,-15.19324604161029,-14.905343913802787,-16.493647844469287,-19.585039044493183,-11.8116530372949
2025-07-25 18:25:00,-10.565171647707572,-13.12866950857337,-19.552622209007243,-11.864580804204381,-15.206954663119266,-18.40495209765149,-14.150770153986109,-17.246148941057807,-17.16369748784173,-10.175791410302649,-15.994072580475637,-15.091839362514008,-18.444301031351007,-14.866453183619166,-15.403184764899299,-17.529412080647926,-15.584581780534526,-14.991600357038134,-19.21028339971128,-12.487042407903568,-21.157877825309956,-15.239880413743396,-17.163076483932603,-15.945573550991442,-16.84367513698651,-13.602251782703506,-17.546684027305876,-14.719877010915067,-18.22474126882132,-13.65379968986626
2025-07-25 18:30:00,-14.075980557915972,-13.952871526237912,-18.37042343192625,-10.192694491686867,-12.210875634695807,-19.588713321662176,-16.373833451128313,-12.59795998205271,-21.45592126569344,-13.43705190904395,-15.709694230723912,-16.204570793225304,-17.11345265962951,-14.857610964238898,-15.731327729300736,-18.168370123555725,-14.96917921012377,-15.095803242051542,-18.922266789684464,-12.887169185711363,-22.66764355202674,-20.100424572885693,-16.209180371116748,-14.258119016385734,-15.60040488776701,-17.803967301745594,-14.71455033088818,-15.020933481958483,-18.530350331073,-10.981722719289197
2025-07-25 18:35:00,-13.695185437441392,-14.713154300623176,-20.017171475595894,-9.508167113237546,-13.539280416938094,-19.666318840638425,-11.982755549159835,-12.303679957140943,-17.39365485915574,-10.474957752240948,-16.475086000362616,-15.847213961146014,-17.723924407341265,-15.1936606472897,-15.769313747207534,-18.089697347944746,-14.949841787559611,-14.35563644902437,-18.151362567467764,-13.666783709323875,-17.353597338952707,-13.453026898327467,-19.26808199616405,-14.463166643762202,-14.515588043973173,-16.366502866934162,-22.815762292119885,-15.242491625606228,-21.12592951743696,-16.232985486147346
2025-07-25 18:40:00,-11.627650320576556,-15.293066273330242,-21.736478554708825,-11.47803145040181,-16.132874429945023,-22.313587079719923,-11.847650816891571,-17.423407914290138,-17.882900859061415,-13.561490933738392,-17.105423611332828,-15.931397696765748,-17.969047363610876,-15.086901069139078,-16.369924586807706,-17.059645717747678,-14.561816179771352,-15.048625633330516,-18.29702732426821,-12.126319226702762,-17.472326697956703,-15.861876560173618,-22.786570858396253,-15.13703611556137,-16.173576831845946,-14.88378753423802,-16.287177668589475,-13.085990175395617,-19.089887286458705,-15.5220002685866
