Date,AAPL_forecast_garch_d,AMD_forecast_garch_d,AMZN_forecast_garch_d,GOOGL_forecast_garch_d,IBM_forecast_garch_d,META_forecast_garch_d,MSFT_forecast_garch_d,NVDA_forecast_garch_d,SPY_forecast_garch_d,TSLA_forecast_garch_d,AAPL_forecast_har_d,AMD_forecast_har_d,AMZN_forecast_har_d,GOOGL_forecast_har_d,IBM_forecast_har_d,META_forecast_har_d,MSFT_forecast_har_d,NVDA_forecast_har_d,SPY_forecast_har_d,TSLA_forecast_har_d,AAPL_forecast_rfsv_d,AMD_forecast_rfsv_d,AMZN_forecast_rfsv_d,GOOGL_forecast_rfsv_d,IBM_forecast_rfsv_d,META_forecast_rfsv_d,MSFT_forecast_rfsv_d,NVDA_forecast_rfsv_d,SPY_forecast_rfsv_d,TSLA_forecast_rfsv_d,AAPL_actuals_d,AMD_actuals_d,AMZN_actuals_d,GOOGL_actuals_d,IBM_actuals_d,META_actuals_d,MSFT_actuals_d,NVDA_actuals_d,SPY_actuals_d,TSLA_actuals_d
2025-07-01,-7.810487135056047,-8.6294195272437,-8.072316200929581,-8.690739100272543,-8.104482872304702,-10.211763579638768,-11.645332451445805,-12.977687138058625,-10.690898218982431,-7.967116880411418,-7.810487135056047,-8.6294195272437,-8.072316200929581,-8.690739100272543,-8.104482872304702,-10.211763579638768,-11.645332451445805,-12.977687138058625,-10.690898218982431,-7.967116880411418,-5.408000494797856,-15.233696355116567,-11.77508546655596,-19.96358676645988,-11.880736470519954,-10.817769065903956,-16.165873838682,-10.978543572422804,-6.48891988862029,-16.348515497166886,-8.711398178514576,-6.3564682279873495,-10.651234029276022,-12.22456465092465,-8.80953334233235,-7.307136130425915,-9.050070014101719,-7.004137940082841,-16.070577789609082,-5.806841385208036
2025-07-02,-7.9683404875910435,-8.52327141707454,-8.190975478958087,-8.682116168568573,-8.109245288082326,-10.334442386796086,-11.65330007243464,-12.991829602498889,-10.878905530817995,-7.975030198444587,-12.013747930636356,-13.980788770619919,-13.100377809491844,-13.973294511533524,-11.49599570039302,-16.070192400181284,-16.492594517051046,-18.061575892619942,-13.479068987464911,-13.57274339498299,-12.953197050256312,-15.473193989586665,-11.94390494311499,-16.878873079220984,-17.495435330077235,-14.160983772500373,-15.495845506767575,-13.384585968400426,-13.45769458735739,-16.34931078196612,-7.634584745887888,-8.085246949283803,-12.021304644895018,-8.295726457461992,-8.801861150632625,-9.68515324956435,-12.476843604488028,-7.342857867111467,-10.797133736138,-6.0528914907977835
2025-07-03,-8.131613823751936,-8.631368542961788,-8.2453659358562,-8.692177008997755,-8.104027362828742,-10.378557315168127,-11.664717207998363,-13.132622110653667,-11.049284601055215,-7.987354492537278,-17.187196895730768,-19.632205679860732,-18.081027665350174,-17.752309499188627,-16.146714970691434,-21.326844140919924,-21.81434702743112,-23.428065967092707,-18.158498670823363,-20.111148133310262,-11.873641329625219,-8.230662907894681,-18.042459289043034,-18.86945496791939,-13.341828157150237,-15.10346200799475,-19.632648539239995,-14.420732502821727,-17.55524925249427,-5.762504779602808,-10.513808069421772,-10.846203207190737,-8.302486134814705,-10.608781935565114,-8.411899375395315,-9.760599883340948,-8.313547135054062,-8.65456648276567,-9.694353500807662,-13.91623360065233
2025-07-04,-8.307463842614318,-8.731891923340221,-8.367952307042568,-8.6966565116014,-8.11038064306297,-10.493468998992904,-11.67371157161514,-13.238360556222933,-11.193491872213807,-8.006752217955473,-17.25548946151441,-18.114671339078384,-18.17396027977002,-17.91573417619407,-15.549609875638419,-20.028346887207363,-21.00748273995378,-22.669324781704205,-18.263231530400596,-21.445514129594656,-10.186147845465038,-13.492862267850933,-10.177145153665869,-18.111303225127433,-19.573957175736936,-16.435677590756928,-14.422910342646048,-12.915988034338222,-12.678040882715624,-15.107413668005742,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-05,-8.452101014607871,-8.790454047781243,-8.487362891062997,-8.694685622061442,-8.116947683148041,-10.611813449955196,-11.659481486527035,-13.31655240147663,-11.342775290622237,-8.018535910724225,-12.19127730622872,-12.34228878060251,-13.338226365445959,-12.384562171092252,-11.089669757437255,-14.78521514606991,-16.48743598677013,-16.491549070655836,-13.527045894413385,-17.050280480160065,-13.684151732020302,-11.968976464379962,-17.847913977920392,-12.906162974285575,-15.691621442718567,-18.263965981752147,-18.909380619305942,-14.711405337237249,-13.279103854232286,-15.646351643242605,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-06,-8.659638483495833,-8.8802407754212,-8.580080454865358,-8.69599197266627,-8.123697280101165,-10.727959644890973,-11.669743698644528,-13.362763415963217,-11.492476478589717,-8.02848048151392,-8.519743814634623,-7.5511093423264395,-8.604243636070809,-7.404928820451616,-7.215186273655474,-8.70434128537761,-13.204712384865372,-12.149975814152347,-11.210529730171197,-10.80065477687689,-7.789662850181211,-14.762142188806044,-13.377366559398473,-14.785649206477672,-15.60582648910235,-13.898591070953481,-17.400134212185552,-14.551689185281512,-18.064038080991985,-8.473916153746906,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-07,-8.51366677164985,-8.938261714931103,-8.662386578326903,-8.689088269182266,-8.123690354192616,-10.848294721775694,-11.68002438833743,-13.353954843727694,-11.168478933159022,-8.033261336148351,-8.521653975268638,-7.787314918847761,-9.395802406858209,-9.146037695502338,-7.653520414367602,-8.140986561197133,-12.875958176054537,-11.355259164095356,-10.004838213746487,-9.881859258689683,-12.029097680950887,-14.340594715013058,-11.63451637090694,-15.337314382916876,-15.211874535799902,-12.883207044120008,-13.305683493559945,-13.499281819046677,-17.132089729855362,-9.54381191752067,-8.14889306431721,-7.561190863467174,-16.44380269891261,-8.349404305854906,-12.74127361160782,-13.985640993991069,-12.195655044880695,-9.944551365153645,-9.79106849363952,-5.309754169625224
2025-07-08,-8.645099523910371,-8.981594502419881,-8.763896418960094,-8.699362104913748,-8.129803222833099,-10.97315231555761,-11.681577468841592,-13.422340814145267,-11.337339016864908,-8.042800400838992,-7.926675329375457,-8.538997530169054,-8.05560814815411,-8.44501207100656,-7.993169174628283,-7.669040071152688,-12.342768737174906,-11.1200852621392,-9.450581497564093,-10.11688344623039,-12.473714758746201,-14.69723826082047,-13.91428676437486,-13.113858549548365,-11.500035517177173,-11.099103507485978,-18.484988200907026,-13.974472574407027,-9.622753155517774,-14.225175869530066,-16.31970322050368,-7.619264972635553,-7.973173471905008,-8.560323634916319,-9.914024723649295,-11.473988755545802,-12.227211332234745,-9.008674719900695,-15.018570727656167,-8.673338546312193
2025-07-09,-8.362672379377628,-9.032789548323642,-8.858564947374138,-8.708430692579437,-8.109381973129041,-11.02340434861546,-11.687663736372524,-13.466131125413371,-11.411063222048185,-8.090555718399411,-13.560806356355432,-13.975448543250073,-13.648185950130998,-13.48695217192261,-13.50804654671706,-12.911854455457204,-17.614697633395764,-16.402331290152517,-13.97254924305316,-13.573018011877842,-14.879909590042738,-22.2915100757696,-9.849524976818198,-9.367048166025839,-8.38396106498212,-9.369970364827864,-14.114872752635998,-10.154373823831328,-17.89875358229137,-11.699050364450361,-10.455231559766512,-10.91144279924924,-8.482080041500023,-8.704411087987925,-13.887524488617562,-8.188978876810296,-8.569297600209499,-8.052629807143056,-10.239082867541775,-10.071378415403741
2025-07-10,-8.23023440716597,-8.81912250750877,-8.834619824219335,-8.70940497328997,-8.115551546856366,-11.028092775705705,-11.691482057256724,-13.389908306315428,-11.045465307168678,-8.08786229820031,-17.82032517383954,-19.48350398604562,-16.892470393201734,-18.563006414309115,-17.21217754433016,-17.01346911065528,-23.33021009815215,-21.963084908994453,-18.136914517805018,-18.928663820857995,-9.81214893941607,-9.803391923007705,-11.337035879263302,-16.442260861186604,-13.97368547984235,-17.37577204355107,-13.829558568249885,-14.070824379609117,-14.921959488567287,-5.95599014554138,-10.232999491321776,-6.40288243330901,-13.354831789123748,-10.35364643296008,-9.337435659955787,-9.762102053491247,-11.023092189765503,-9.795788924646539,-11.744658652874385,-6.149600452056257
