datetime,rv,lvol,roughsim
2010-11-14,1.1467793934482173e-05,-11.375967978845246,-8.672495586712433
2010-11-15,8.22762446364461e-05,-9.40542813548939,-7.658671814153241
2010-11-16,0.00013415218028053726,-8.916535728667595,-8.483858672180164
2010-11-17,9.287637084074666e-05,-9.284241294973404,-7.927427186538967
2010-11-18,6.76617278400379e-05,-9.600989857839966,-9.023792646691366
2010-11-19,6.019867835323323e-05,-9.717860160155725,-9.1381565498391
2010-11-21,3.206784041824413e-05,-10.347656886151068,-7.603787349122273
2010-11-22,8.172482643914567e-05,-9.412152729074265,-8.198924139275688
2010-11-23,0.00012997937585591335,-8.948134767356704,-9.647132684644053
2010-11-24,9.221520379167812e-05,-9.291385540869596,-8.669437156265994
2010-11-25,2.6264435207172978e-05,-10.547294807418988,-8.35286421723966
2010-11-26,8.355225345517799e-05,-9.390038331949931,-7.98847843386889
2010-11-28,7.351583010602094e-05,-9.518009799343355,-8.412506027253581
2010-11-29,0.0001321199964437754,-8.931799984358312,-8.806831602270918
2010-11-30,0.00014304409137090086,-8.852357643963641,-9.18432002238996
2010-12-01,8.16923894275526e-05,-9.41254971309883,-7.609019917162295
2010-12-02,8.371220668703744e-05,-9.388125752547445,-6.650489333133169
2010-12-03,0.00011801954982966485,-9.044660270698865,-7.791674913165845
2010-12-05,6.0538586679275e-06,-12.014814692875524,-10.155647827752139
2010-12-06,6.314024762504263e-05,-9.670152153001089,-9.781006194590184
2010-12-07,8.309773777333974e-05,-9.395493079417589,-8.88029280930079
2010-12-08,7.74901631410445e-05,-9.465359556873242,-9.055700576677527
2010-12-09,6.323172572119719e-05,-9.668704393506472,-9.690641432238102
2010-12-10,4.041079917765909e-05,-10.116413502339453,-8.495777272405542
2010-12-12,1.2711216518516543e-05,-11.273025763848542,-8.144483535299393
2010-12-13,3.744608952874658e-05,-10.192608271911068,-9.078969593813284
2010-12-14,4.762638129677948e-05,-9.952123721331088,-10.368278519135202
2010-12-15,6.420296992903901e-05,-9.653461087761414,-7.904055199009287
2010-12-16,5.047689484852493e-05,-9.8939948541327,-8.127078593935646
2010-12-17,2.9339055906263127e-05,-10.436590963467795,-7.144304068820498
2010-12-19,8.409860920991125e-06,-11.68610562145372,-8.842093895357973
2010-12-20,3.9168307332227764e-05,-10.147642624592029,-7.137345318816569
2010-12-21,2.4849760838434395e-05,-10.60266242967582,-9.456691715464377
2010-12-22,1.8024570303570667e-05,-10.923774713991662,-8.468499575005886
2010-12-23,1.6448468144767423e-05,-11.015278206987643,-7.443707200077604
2010-12-26,1.6460194533222875e-05,-11.01456554424188,-7.938227240174172
2010-12-27,2.414276792601708e-05,-10.631525687475415,-10.100927211560853
2010-12-28,1.760158264817667e-05,-10.94752173677116,-10.662928121253302
2010-12-29,1.468403851135497e-05,-11.128749469658448,-8.392262190997942
2010-12-30,1.9539304957391456e-05,-10.843082482228361,-6.873461546640749
2010-12-31,1.646058596185334e-05,-11.014541764208442,-8.72464503495888
2011-01-02,6.685632425727001e-06,-11.915549748186137,-8.264883844234118
2011-01-03,3.0296491417031968e-05,-10.404478646971114,-8.639166954251838
2011-01-04,4.030454891795727e-05,-10.119046219005584,-8.537316597653884
2011-01-05,4.9790955899986555e-05,-9.90767719886048,-8.696672114296126
2011-01-06,3.963878766023125e-05,-10.13570243271813,-8.500604148205412
2011-01-07,7.752488713831128e-05,-9.46491154878906,-8.520325531591304
2011-01-09,9.045360954696768e-06,-11.613258533368565,-9.217624994413773
