datetime;GARCH;HAR;RFSV;actuals
2018-12-03;-8.471996044086369;-8.471996044086369;-8.471996044086369;-9.414903924819297
2018-12-04;-8.679469999152248;-8.063582620859396;-8.52384009304685;-8.558350159722067
2018-12-05;-7.696474264094755;-8.323317477244656;-8.229017384988447;-7.834342862550691
2018-12-06;-8.149293460203904;-8.03731918150689;-8.610043226798533;-8.065855600162942
2018-12-07;-8.361729780868027;-7.755959245369082;-8.364866356487203;-8.256106842777436
2018-12-09;-8.08652202979734;-7.684267218434615;-8.19030963604725;-9.331019326065286
2018-12-10;-7.060879122521278;-7.733691219364429;-8.370402363926251;-8.004621285576427
2018-12-11;-7.063896357942981;-7.958568696935684;-9.091506843535353;-8.283209846713822
2018-12-12;-7.53241751025452;-7.554771865046401;-8.095885932775914;-8.80035549709611
2018-12-13;-7.157134275144141;-7.65282757704732;-8.367708138169634;-8.561658827519805
2018-12-14;-7.654578883086625;-7.819147551269063;-8.613867516648385;-8.882779743660912
2018-12-16;-8.041728575641626;-7.739644273722806;-8.6055359656312;-11.301288887866397
2018-12-17;-8.480941021938643;-7.8466011575584;-8.139032621026669;-8.45341620019824
2018-12-18;-7.855523773266842;-8.623669889528069;-8.507841019168609;-8.531941382604913
2018-12-19;-7.82031370571468;-7.888066809330494;-8.337708387115706;-7.426111120879259
2018-12-20;-7.077513341818352;-7.846359664460872;-8.716711745685894;-7.4976697805652375
2018-12-21;-7.636700133684965;-7.44001575750999;-8.068935503832678;-7.760351727417391
2018-12-23;-6.661395172223675;-7.338117852263364;-8.210260637875178;-9.698282371003907
2018-12-24;-7.232351784349293;-7.25451199740205;-8.53884996103991;-7.8372329748231415
2018-12-25;-6.66626097642814;-7.779895557403979;-8.978677093974001;-8.60650069524257
2018-12-26;-6.058886513457359;-7.253509376867369;-8.584489106643343;-7.680317540196267
2018-12-27;-6.65429977494768;-7.484052324158169;-8.933632439844956;-7.429424316791897
2018-12-28;-5.436590731072019;-7.188277523335952;-8.57913441959501;-7.8691022230567
2018-12-30;-5.931345098164953;-7.0728734956581665;-8.72591863094253;-9.557988623261021
2018-12-31;-6.452573707496662;-7.1059108588341005;-9.367423426106456;-8.576685050757145
