Ticker,Model,RMSE
AAPL,HAR,5.923840769806834
AAPL,RFSV,3.0308983936593545
AMD,HAR,2.8413237707788546
AMD,RFSV,3.553534209705318
AMZN,HAR,4.858293407699657
AMZN,RFSV,2.5859291508973308
GOOGL,HAR,6.976299600433168
GOOGL,RFSV,2.9583255122833303
IBM,HAR,2.8593615268086277
IBM,RFSV,2.3435080761109495
META,HAR,4.910646563486765
META,RFSV,2.764540098268168
MSFT,HAR,3.6752214018093134
MSFT,RFSV,2.569520313052185
NVDA,HAR,3.2295940839217576
NVDA,RFSV,1.8372130961398248
SPY,HAR,3.150283486227002
SPY,RFSV,2.15018796075323
TSLA,HAR,3.9114381713500697
TSLA,RFSV,2.8950751442855616
