Ticker,Model,RMSE
AAPL,GARCH,6.11724051839183
AAPL,HAR,4.368736965860691
AAPL,RFSV,5.4654149588170435
AMD,GARCH,6.144612567172639
AMD,HAR,5.278220091136017
AMD,RFSV,7.5522026122620405
AMZN,GARCH,7.870107768296327
AMZN,HAR,4.556763946658769
AMZN,RFSV,5.4901527511817845
GOOGL,GARCH,10.595275227391914
GOOGL,HAR,6.597449752464296
GOOGL,RFSV,8.80585680864068
IBM,GARCH,11.487880027598777
IBM,HAR,6.507589519573813
IBM,RFSV,7.837343474128112
META,GARCH,5.9755852368107085
META,HAR,4.597199287464072
META,RFSV,6.837262782219478
MSFT,GARCH,8.639126500097255
MSFT,HAR,4.446985603715622
MSFT,RFSV,5.381433104999153
NVDA,GARCH,7.75728325147756
NVDA,HAR,4.472999690542511
NVDA,RFSV,6.574049974635219
SPY,GARCH,6.744922831561562
SPY,HAR,4.315044681135036
SPY,RFSV,7.2637962525135285
TSLA,GARCH,11.283989632503127
TSLA,HAR,6.295078784179809
TSLA,RFSV,7.849301133819687
